imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt9378320,Watchman,Watchman,2019,2019-04-12,Thriller,95,India,Tamil,A.L. Vijay,A.L. Vijay,Double Meaning Productions,"G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun, Yogi Babu, Munishkanth, Usha Elizabeth, 'Winner' Ramachandran, Stunt Silva, Ruel Dausan Varandani","A day before his engagement, a man is threatened by a local goon over a debt which he owes him.",5.2,244,,,,,8.0,4.0
tt9378360,Muse,Muse,2019,2019-03-08,"Drama, Horror, Thriller",80,UK,English,Richard John Taylor,Richard John Taylor,Altis International,"Nicholas Ball, Kitty Lucas, Kev Orkian, Emily Price, Jeffrey Charles Richards, Lowri Watts-Joyce","World-renowned author Harry Newman struggles to come to terms with the untimely deaths of his wife and daughter. Crippled by grief and isolated in his home, he forms an unhealthy attachment...",3.8,124,,,,,14.0,3.0
tt9378826,The Droving,The Droving,2020,2020-04-21,"Crime, Mystery, Thriller",80,UK,English,George Popov,"George Popov, Jonathan Russell",Rubicon Films,"Daniel Oldroyd, Suzie Frances Garton, Amy Tyger, Jonathan Lawrence Risdon, Bobby Robertson, John Love, Anis Sghaier, Tyler Perris, Alexander King, George Popov, Frank Say Thomas","A man returns from the military in search for his lost sister, who mysteriously went missing around the time of a strange traditional festival called 'The Droving'.",5.4,454,,,,,91.0,20.0
tt9378850,Wu lin guai shou,Wu lin guai shou,2018,2018-12-12,"Action, Fantasy",104,"Hong Kong, China","Mandarin, Cantonese",Andrew Lau,Chao Rong,Bona Film Group,"Louis Koo, Cheney Chen, Bea Hayden Kuo, Bei-Er Bao, Taili Wang, Dongyu Zhou, Alex Fong, Peter Ho, Lianshun Kong, Sam Lee, Dawei Liang, Hao Liu, Ken Lo, Binlong Pan, Fiona Sit","Set in the final years of the Ming Dynasty, when the nation is gifted a rare creature by the Bruneian Empire. A member of the Imperial Secret Police is tasked to tame the beast but ...",4.0,178,,,$ 11576368,,4.0,9.0
tt9378950,Ghost,Ghost,2019,2019-10-18,"Horror, Thriller",130,"India, USA","Hindi, English",Vikram Bhatt,"Vikram Bhatt, Srivinay Salian",Eyka Films,"Sanaya Irani, Shivam Bhaargava, Vikram Bhatt, Ameet Chana, Ananya Sengupta, Caroline Wilde, Monisha Hassen, Manoj Anand, Raj Awasti, Aidan Barry, Lee Comley, Jonathon Daley, Clive Dancey, Vishal Dave, James De'Val","The story of the film follows Karan Khanna, a politician of Indian origin in the United Kingdom, who is accused of killing his wife. He tells his lawyer that a spirit committed the murder and should be tried.",5.2,1228,,,,,74.0,2.0
tt9382224,National Theatre Live: All My Sons,National Theatre Live: All My Sons,2019,2019-05-14,Drama,165,UK,English,Jeremy Herrin,Arthur Miller,,"Colin Morgan, Bill Pullman, Sally Field, Jenna Coleman, Oliver Johnstone, Sule Rimi, Russell Wilcox, Theo Boyce","America, 1947, Joe and Kate Keller are a success story. But their contented lives are about to shatter. A figure from the past forces long buried truths to the surface lying bare the price of their American dream.",8.6,119,,,$ 1455588,,1.0,5.0
tt9382596,The Car: Road to Revenge,The Car: Road to Revenge,2019,2019-01-08,"Action, Horror, Thriller",89,USA,English,G.J. Echternkamp,"Michael Tabb, G.J. Echternkamp",Universal 1440 Entertainment,"Grant Bowler, Kathleen Munroe, Jamie Bamber, Martin Hancock, Micah Balfour, Burt Grinstead, Nina Bergman, Ronny Cox, Keith-Lee Castle, Ivan Iliev, Katrina Nare, James Bradshaw, Anton Poriazov, Nathan Cooper","An unscrupulous District Attorney is savagely murdered and tossed out of a building onto his brand new car. Mysteriously, the District Attorney and his car come back to life as a single being with a thirst for vengeance.",4.0,762,,,,,65.0,11.0
tt9386648,Tammy's Always Dying,Tammy's Always Dying,2019,2020-05-01,Drama,85,Canada,English,Amy Jo Johnson,Joanne Sarazen,JA Productions,"Felicity Huffman, Anastasia Phillips, Clark Johnson, Lauren Holly, Kristian Bruun, Jessica Greco, Aaron Ashmore, Philip Williams, Olunike Adeliyi, Ali Hassan, Tara Nicodemo, Ayesha Mansur Gonsalves, Jocelyne Zucco, Sarah Hillier, Shelby Bain","On the 29th of every month, when the welfare runs out, Catherine talks her alcoholic mother off of the same bridge. Literally. Catherine, a connoisseur of bad decisions, dreams of being ...",5.8,179,,,,55.0,19.0,13.0
tt9387352,Kak ya stal russkim,Kak ya stal russkim,2019,2019-01-24,Comedy,100,"Russia, China",Russian,"Xia Hao, Akaki Sakhelashvili","Ivan Baranov, Aleksandr Markin",All Media Company,"Dun Chan, Elizaveta Kononova, Sergey Chirkov, Vitaliy Khaev, Hrant Tokhatyan",,4.8,240,,,$ 1668824,,2.0,
tt9389802,Generation Aami,Generation Aami,2018,2018-11-23,Drama,118,India,Bengali,Mainak Bhaumik,,Star Entertainment Studio,"Rwitobroto Mukherjee, Sauraseni Maitra, Aparajita Adhya, Santilal Mukherjee, Abhirup Chakrabarti, Lily Chakravarty, Nondini Chatterjee, Arindra Rai Chaudhuri, Pushan Dasgupta, Indrajit Deb, Agnibha Mukherjee, Aritra Sengupta, Anusha Vishwanathan",A boy tries to ask a girl he likes out as well as try to pursue his passion for song writing and singing all the while facing his strict traditional parents. However his cousin sister from ...,7.6,679,,,,,6.0,
tt9390026,706,706,2019,2019-01-11,Thriller,120,India,Hindi,Shravan Kumar,Shravan Kumar,Pramukh Films Production House,"Mohan Agashe, Raayo S. Bakhirta, Divya Dutta, Narendra Joshi, Nirali Joshi, Greeva Kansara, Atul Kulkarni, Atul Lakhia, Kamini Patel, Rajiv Pathak, Hetal Rathod, Yashvit Sancheti, Anupam Shyam, Archana Trivedi","When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.",5.3,368,,,,,12.0,
tt9390200,Dokyala Shot,Dokyala Shot,2019,2019-03-01,Thriller,122,India,Marathi,Shivkumar Parthasarathy,"Varun Narvekar, Varun Narvekar",Viva Inen Productions,"Anand Alkunte, Omkar Govardhan, Rohit Haldikar, Suvrat Joshi, Prajakta Mali, Ganesh Pandit, Manngala Radhakrishnan","A Marathi boy suffers a head injury which results in him losing his memory. After the accident, his friends find out that he has no clue about his impending marriage.",8.8,661,,,,,,1.0
tt9390222,72 Hours: Martyr Who Never Died,72 Hours: Martyr Who Never Died,2019,2019-01-18,"Action, Biography, Drama",130,India,Hindi,Avinash Dhyani,"Rishi Bhatt, Avinash Dhyani",JSR Productions House,"Avinash Dhyani, Yeshi Dema, Alka Amin, Virendra Saxena, Jeeshan Ali, Rudraksh Bahuguna, Prabhu Bhatt, Rishi Raj Bhatt, Sudeep Bhatt, Rohit Bisht, Rohit Kumar Bisht, Satish Chand, Saajan Chetri, Subhash Devrari, Suraj Dholakhandi","The story is based on the life of Rifleman Jaswant Singh Rawat. 55 years ago during 1962 Indo-China war , when the destiny of war was pre decided, there stood a brave soldier from 4th ...",5.2,213,$ 1500000,,,,9.0,
tt9390254,Guddiyan Patole,Guddiyan Patole,2019,2019-03-08,"Comedy, Drama",127,India,Punjabi,Vijay Kumar Arora,"Sarghi Barring, Deep Jagdeep Jaedy",,"Gurnam Bhullar, Sonam Bajwa, Tania, Nirmal Rishi, Rupinder Rupi, Sukhwinder Chahal, Gurmeet Saajan, Seema Kaushal, Baninder Bunny, Prakash Gadhu, Gurpreet Bhangu, Sameep Ranaut, Hardeep Gill, Ansh Tejpal, Labh Chatamliwala","Two sisters come back to their village from Canada to see their maternal family and take their grandmother for a short leisure trip, but end up meeting a boy from Punjab along the way.",7.2,444,,,$ 295472,,13.0,
